,School1,School2,Year,Distance,popDiff,perfDiff
64,Bernards Heath Junior School,Alban City School,2020,1215.0082304247983,0.4388888888888889,2.9023645813754557
65,Bowmansgreen Primary School,Alban City School,2020,4278.127861576837,-0.08333333333333337,0.036873172959318135
66,Camp Primary and Nursery School,Alban City School,2020,1836.7819685526097,0.7166666666666666,0.41057864762310614
67,Colney Heath Junior Mixed Infant and Nursery School,Alban City School,2020,5240.7370664821565,-0.01666666666666672,2.296429944523065
68,Cunningham Hill Junior School,Alban City School,2020,1803.9517731912902,0.4833333333333334,4.345158156003666
69,Fleetville Junior School,Alban City School,2020,1386.2139084571327,0.21666666666666667,0.9545107988906207
70,Garden Fields Junior Mixed and Infant School,Alban City School,2020,1135.8538638398868,-0.03888888888888886,2.7793744414284554
71,How Wood Primary and Nursery School,Alban City School,2020,3868.3466752606337,0.18333333333333335,-1.562502711468362
72,Killigrew Primary and Nursery School,Alban City School,2020,2879.7461693697937,0.16666666666666663,3.742786499104299
73,London Colney Primary & Nursery School,Alban City School,2020,4133.257432098804,-0.15000000000000002,-0.006233461635537507
74,Mandeville Primary School,Alban City School,2020,1946.1718834676449,0.30000000000000004,0.09310926021909638
75,Maple Primary School,Alban City School,2020,224.89108474992955,1.05,4.6006990489287105
76,Margaret Wix Primary School,Alban City School,2020,1910.6025227660514,-0.38333333333333336,0.916700903076792
77,Oakwood Primary School,Alban City School,2020,2305.2585538286157,0.31666666666666665,1.8645243180886604
78,Park Street Church of England Voluntary Aided Primary School,Alban City School,2020,3874.678825399597,-0.18333333333333335,3.0935672006679926
79,Prae Wood Primary School,Alban City School,2020,1984.2388969073256,0.21666666666666667,2.197367423808979
80,St Bernadette Catholic Primary School,Alban City School,2020,4501.614932443689,0.4833333333333334,-0.004695087429950506
81,Samuel Ryder Academy,Alban City School,2020,2352.778995145953,0.3666666666666667,-0.48501185279231973
82,Sandridge School,Alban City School,2020,3885.815873146848,-0.2833333333333333,0.6373306850270118
83,Skyswood Primary & Nursery School,Alban City School,2020,2638.5575604864107,0.9166666666666667,5.34474302808518
84,St Adrian Roman Catholic Primary School,Alban City School,2020,1903.166309075484,0.31666666666666665,4.569101058889483
85,St John Fisher Roman Catholic Primary School,Alban City School,2020,2434.6755430652356,-0.5166666666666666,1.7151515537407058
86,"St Michael's Church of England Voluntary Aided Primary School, St Albans",Alban City School,2020,1486.090845136999,0.41666666666666674,4.492709206828281
87,St Peter's School,Alban City School,2020,831.1684546468304,1.0166666666666666,4.009395210614736
88,Wheatfields Junior Mixed School,Alban City School,2020,2368.730461660845,0.15000000000000002,2.620652645295752
89,Windermere Primary School,Alban City School,2020,2128.848749911557,0.1166666666666667,-2.562715368469614
90,"Abbey Church of England Voluntary Aided Primary School, St Albans",Bedmond Academy,2020,5790.55575916509,0.8,10.715897503387822
92,How Wood Primary and Nursery School,Bedmond Academy,2020,4701.002871728542,0.7,6.639088319657169
93,Killigrew Primary and Nursery School,Bedmond Academy,2020,4299.185504255428,0.6833333333333333,11.94437753022983
94,Mandeville Primary School,Bedmond Academy,2020,5462.678555434138,0.8166666666666667,8.294700291344627
95,Mount Pleasant Lane Primary School,Bedmond Academy,2020,2827.497126435321,0.5666666666666667,8.308726173832712
96,Park Street Church of England Voluntary Aided Primary School,Bedmond Academy,2020,4994.465937415131,0.3333333333333333,11.295158231793524
97,Prae Wood Primary School,Bedmond Academy,2020,4713.8190461662825,0.7333333333333334,10.39895845493451
98,St Adrian Roman Catholic Primary School,Bedmond Academy,2020,5227.349997847858,0.8333333333333333,12.770692090015014
99,"St Michael's Church of England Voluntary Aided Primary School, St Albans",Bedmond Academy,2020,5463.282895842023,0.9333333333333333,12.694300237953811
100,Abbots Langley School,Bedmond Academy,2020,1160.7812024666837,0.6833333333333333,10.030865825327602
101,Alban Wood Primary School and Nursery,Bedmond Academy,2020,2652.570451467783,1.2333333333333332,6.122358148671172
102,Beechfield School,Bedmond Academy,2020,4875.442646570668,0.49999999999999994,10.173109232347844
103,Belswains Primary School,Bedmond Academy,2020,3469.99769452373,1.3333333333333333,11.103426192130673
104,Broadfield Academy,Bedmond Academy,2020,4935.455804685115,0.36666666666666664,6.052896080196914
