,Full Name,PAN,APP,ALLO,NOT_DIST,NEAR,DIST,TOTAL,MAX_DIST_NS,MAX_DIST_DIST,P1,P2,P3,P4,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Latitude,Longitude,Easting,Northing,within_500m,within_1km,within_2km,within_3km,within_5km,Grade,P1/plc,PAN_bin
499,Wymondley JMI School,15,63,15,10.0,2.0,3.0,15.0,249.48,1959.42,16.0,16.0,18.0,12.0,2018,117177,0.57,0.07,-3,-2,-4.4,106,110,104,51.934284,-0.238372,521210,227663,0,0,3,8,28,2.0,1.0666666666666667,<30
500,Bowmansgreen Primary School,60,64,33,13.0,18.0,2.0,33.0,2358.59,545.46,27.0,25.0,8.0,3.0,2018,117187,0.34,0.07,-3.4,-0.1,-3.6,100,101,100,51.721874,-0.300999,517455,203938,1,2,2,8,25,2.0,0.45,60
501,London Colney Primary School,30,44,23,3.0,7.0,7.0,23.0,1175.35,8710.73,14.0,12.0,12.0,6.0,2018,117146,0.64,0.14,2.6,1.7,4.1,107,111,108,51.725985,-0.295531,517822,204404,0,2,3,8,27,2.0,0.4666666666666667,30
502,St Bernadette RC Nursery and Primary School **,30,53,30,0.0,0.0,0.0,30.0,0.0,0.0,29.0,12.0,6.0,6.0,2018,117489,0.6,0.13,-1.6,0,-2.9,104,105,102,51.719587,-0.300809,517474,203684,1,2,3,7,25,2.0,0.9666666666666667,30
503,Long Marston Voluntary Aided C of E Primary School **,20,38,20,0.0,0.0,0.0,20.0,0.0,0.0,22.0,6.0,2.0,8.0,2018,117459,0.76,0.18,0.3,0.5,-2,108,107,105,51.833099,-0.700592,489634,215741,0,0,0,0,2,2.0,1.1,<30
504,Markyate Village School & Nursery,45,45,33,15.0,15.0,3.0,33.0,945.14,17553.0,30.0,7.0,6.0,2.0,2018,117127,0.69,0.14,0,-0.3,-2,106,106,103,51.837889,-0.465286,505836,216589,0,0,0,0,2,2.0,0.6666666666666666,31-59
505,St Andrew's C of E Primary and Nursery (Much Hadham) **,30,38,24,0.0,0.0,0.0,24.0,0.0,0.0,24.0,7.0,5.0,2.0,2018,117444,0.79,0.24,3.7,0.3,2.4,110,109,109,51.850755,0.071519,542777,218935,0,0,0,0,5,2.0,0.8,30
506,Ponsbourne St Mary's C of E VC Primary School,13,70,13,4.0,5.0,4.0,13.0,1478.79,4564.21,13.0,23.0,14.0,20.0,2018,117396,0.69,0.23,0.5,0.2,2.3,107,110,108,51.729837,-0.118359,530047,205133,0,0,0,2,11,1.0,1.0,<30
507,St Mary's Church of England VA Primary (North Mymms) **,30,18,17,0.0,0.0,0.0,17.0,0.0,0.0,8.0,4.0,3.0,3.0,2018,117497,0.33,0,3.1,-0.8,-0.7,104,103,100,51.735564,-0.221078,522938,205592,0,0,2,6,15,3.0,0.26666666666666666,30
508,Northaw C of E Primary School **,15,49,15,0.0,0.0,0.0,15.0,0.0,0.0,17.0,13.0,11.0,8.0,2018,117569,0.73,0.13,-1.3,0.9,0.8,105,109,107,51.706229,-0.147576,528096,202456,0,0,2,4,11,2.0,1.1333333333333333,<30
509,Eastbury Farm Primary School,45,105,43,17.0,8.0,18.0,43.0,903.93,28269.0,34.0,23.0,23.0,25.0,2018,117245,0.77,0.21,0.4,0.8,0.7,109,111,108,51.625227,-0.418137,509597,193008,0,0,4,11,26,3.0,0.7555555555555555,31-59
510,Offley Endowed Primary School **,20,24,21,0.0,0.0,0.0,21.0,0.0,0.0,20.0,4.0,0.0,1.0,2018,117445,0.63,0.25,1.8,3,1.9,106,107,106,51.931325,-0.341016,514161,227168,0,0,0,0,7,2.0,1.0,<30
511,How Wood Primary School,30,76,26,11.0,12.0,3.0,26.0,1248.61,12582.0,25.0,26.0,19.0,5.0,2018,117235,0.57,0.2,-2.1,-0.6,-1.6,103,108,104,51.720239,-0.345245,514403,203686,1,1,3,5,27,2.0,0.8333333333333334,30
512,Park Street Church of England Primary School and Nursery **,30,66,26,0.0,0.0,0.0,26.0,0.0,0.0,22.0,18.0,15.0,11.0,2018,117452,0.73,0.1,2,0.4,0.3,108,108,107,51.719753,-0.340998,514698,203639,1,1,3,7,28,2.0,0.7333333333333333,30
513,Pirton School,21,24,17,3.0,13.0,1.0,17.0,459.97,8337.08,17.0,3.0,4.0,0.0,2018,117128,0.75,0.31,0.8,0.7,0.1,108,106,107,51.973729,-0.333229,514588,231896,0,0,0,0,7,2.0,0.8095238095238095,<30
514,Potten End C of E Primary School,30,59,28,12.0,8.0,8.0,28.0,1039.77,4956.79,25.0,14.0,8.0,12.0,2018,117414,0.59,0.15,0.4,-0.2,-1.5,107,108,105,51.770372,-0.527246,501719,208992,0,0,0,5,19,2.0,0.8333333333333334,30
515,Cranborne Primary (Potters Bar) *,60,213,60,25.0,35.0,0.0,60.0,833.38,0.0,72.0,81.0,43.0,17.0,2018,117369,0.73,0.2,0.8,2.8,1.8,107,108,107,51.699803,-0.199312,524539,201652,0,1,4,7,9,2.0,1.2,60
516,Ladbrooke JMI School,30,157,30,10.0,20.0,0.0,30.0,622.88,0.0,49.0,52.0,39.0,19.0,2018,117370,0.9,0.17,2.2,0.9,2.7,108,109,109,51.696418,-0.179753,525900,201309,0,0,4,6,9,2.0,1.6333333333333333,30
517,Oakmere Primary School,60,65,73,16.0,15.0,15.0,73.0,1043.11,30254.0,27.0,9.0,11.0,17.0,2018,117371,0.68,0.08,0.8,-0.1,1.8,103,106,105,51.694599,-0.165462,526893,201131,0,0,3,5,9,2.0,0.45,60
518,Pope Paul Catholic Primary School **,30,67,30,0.0,0.0,0.0,30.0,0.0,0.0,27.0,9.0,18.0,12.0,2018,117496,0.67,0.03,0,-2.4,-2.9,107,106,103,51.690153,-0.198625,524613,200580,0,0,3,6,8,2.0,0.9,30
519,Wroxham School (The) **,30,142,30,0.0,0.0,0.0,30.0,0.0,0.0,42.0,38.0,40.0,22.0,2018,138215,0.65,0.16,-0.7,-0.8,-0.7,106,106,106,51.699753,-0.212526,523626,201624,0,1,3,6,10,1.0,1.4,30
520,Preston Primary (VC) School,15,33,11,6.0,3.0,2.0,11.0,983.87,7207.52,11.0,8.0,10.0,4.0,2018,117403,0.69,0.08,-1,-1.8,-3,106,107,104,51.907162,-0.288041,517866,224565,0,0,0,0,8,2.0,0.7333333333333333,<30
521,St Thomas of Canterbury Catholic Primary School **,15,33,17,0.0,0.0,0.0,17.0,0.0,0.0,21.0,5.0,5.0,2.0,2018,117454,0.6,0.5,-0.4,2,-1.3,107,111,106,51.889282,0.010641,538466,223102,0,1,1,1,2,1.0,1.4,<30
522,Newberries Primary School,30,136,30,9.0,9.0,12.0,30.0,676.8,1866.35,39.0,57.0,20.0,20.0,2018,117303,0.72,0.14,1.7,0,-0.9,107,110,105,51.682247,-0.309816,516948,199517,0,0,2,6,22,2.0,1.3,30
523,Arnett Hills JMI School,30,128,30,17.0,13.0,0.0,30.0,920.82,0.0,33.0,37.0,36.0,22.0,2018,117289,0.9,0.27,4.6,3.9,4.1,111,112,110,51.645798,-0.495282,504210,195183,0,1,5,8,14,2.0,1.1,30
524,Maple Cross JMI School,30,27,20,10.0,5.0,2.0,20.0,753.13,10617.0,16.0,5.0,2.0,4.0,2018,117266,0.64,0.11,1,-0.5,-1.8,106,106,104,51.61869,-0.513108,503038,192143,0,0,0,4,9,2.0,0.5333333333333333,30
525,Rickmansworth Park JMI School,30,151,30,13.0,17.0,0.0,30.0,590.02,0.0,40.0,31.0,25.0,55.0,2018,117304,0.77,0.06,2.5,2.2,1.4,108,108,106,51.642989,-0.465111,506304,194914,0,0,5,9,22,2.0,1.3333333333333333,30
526,Shepherd Primary School,60,72,35,17.0,12.0,4.0,35.0,704.99,6344.46,31.0,15.0,10.0,16.0,2018,117096,0.63,0.06,-0.7,0.8,0,105,109,105,51.636807,-0.496013,504180,194182,2,2,4,9,12,2.0,0.5166666666666667,60
527,St Mary's C of E Primary (Rickmansworth) **,30,56,19,0.0,0.0,0.0,19.0,0.0,0.0,13.0,19.0,11.0,13.0,2018,117447,0.68,0.21,-0.5,0.1,-1.2,106,104,105,51.630074,-0.475004,505649,193463,0,0,4,8,16,2.0,0.43333333333333335,30
528,St Peter's C of E VA Primary School **,30,66,24,0.0,0.0,0.0,24.0,0.0,0.0,21.0,23.0,15.0,7.0,2018,117448,0.82,0.14,2,0.8,0.7,108,111,107,51.635782,-0.489761,504615,194077,2,2,5,8,13,2.0,0.7,30
529,St Mary's Catholic Primary (Royston) **,30,47,28,0.0,0.0,0.0,28.0,0.0,0.0,28.0,10.0,4.0,5.0,2018,138292,0.83,0.24,3.4,5.4,2.9,108,107,108,52.050203,-0.019012,535938,240942,0,1,2,2,2,2.0,0.9333333333333333,30
530,High Wych C of E Primary School,30,102,30,10.0,5.0,12.0,30.0,2353.7,2864.54,21.0,10.0,34.0,37.0,2018,117398,0.73,0.13,0,1.1,-0.6,107,106,105,51.805878,0.121232,546346,214043,0,0,0,2,5,2.0,0.7,30
531,_Mandeville Primary School,30,125,30,18.0,12.0,0.0,30.0,322.54,0.0,37.0,63.0,16.0,9.0,2018,117305,0.7,0.3,1.6,1.4,0.3,107,106,106,51.81609,0.145724,548001,215228,1,1,1,3,6,1.0,1.2333333333333334,30
532,Clore Shalom School **,30,73,30,0.0,0.0,0.0,30.0,0.0,0.0,35.0,13.0,17.0,9.0,2018,131456,0.52,0.07,-3.1,-2.2,-3.3,103,104,103,51.704382,-0.289685,518282,202011,0,0,2,5,19,3.0,1.1666666666666667,30
533,Shenley Primary School,45,81,41,23.0,10.0,6.0,41.0,1116.32,4255.38,32.0,12.0,21.0,16.0,2018,117150,0.63,0.09,-2,2.3,-1.5,103,105,103,51.691081,-0.280569,518947,200547,0,0,1,5,19,3.0,0.7111111111111111,31-59
534,St Giles' C of E Primary School **,15,23,15,0.0,0.0,0.0,15.0,0.0,0.0,10.0,5.0,3.0,5.0,2018,117564,0.44,0.06,-0.8,-6.5,-3.3,104,101,102,51.695326,-0.232819,522236,201097,0,0,1,3,15,2.0,0.6666666666666666,<30
535,Greenfields Primary School,30,61,30,14.0,9.0,7.0,30.0,384.01,1072.73,26.0,11.0,16.0,9.0,2018,117193,0.46,0.04,-2.2,-2.5,-4.6,102,104,101,51.617972,-0.393746,511303,192238,0,2,6,7,23,2.0,0.8666666666666667,30
536,St Joseph's Catholic Primary (Watford) **,30,78,30,0.0,0.0,0.0,30.0,0.0,0.0,40.0,14.0,12.0,11.0,2018,117465,0.74,0.04,5.7,4.7,4.8,106,108,105,51.627249,-0.396872,511064,193265,2,2,7,15,30,1.0,1.3333333333333333,30
537,Warren Dell Primary School *,30,100,30,12.0,18.0,0.0,30.0,708.48,0.0,35.0,27.0,24.0,14.0,2018,144905,0.78,0.15,1.6,1.6,0.5,106,106,106,51.628628,-0.39181,511411,193426,2,2,7,15,30,2.0,1.1666666666666667,30
538,Spellbrook Primary School,15,94,15,5.0,1.0,9.0,15.0,352.3,2511.56,10.0,8.0,39.0,37.0,2018,117405,0.6,0.07,-2.9,0,-1.5,103,104,104,51.835207,0.157098,548722,217377,0,0,0,5,14,2.0,0.6666666666666666,<30
539,Abbey C of E Voluntary Aided Primary School (The) **,30,85,30,0.0,0.0,0.0,30.0,0.0,0.0,33.0,23.0,14.0,16.0,2018,117449,0.8,0.27,3.5,0.8,2.6,110,112,110,51.747408,-0.34234,514535,206712,1,3,13,18,28,1.0,1.1,30
540,Aboyne Lodge School,30,159,30,15.0,14.0,1.0,30.0,1007.16,339.21,27.0,34.0,41.0,57.0,2018,117141,0.53,0.1,2.6,-0.3,-1,106,104,103,51.755054,-0.338699,514767,207568,2,4,13,22,28,2.0,0.9,30
541,Alban City School *,60,269,60,0.0,0.0,0.0,60.0,0.0,0.0,40.0,76.0,94.0,58.0,2018,138231,,,,,,,,,51.754331,-0.334225,515078,207495,2,4,15,22,28,2.0,0.6666666666666666,60
542,Bernards Heath Infant School,90,275,90,45.0,36.0,9.0,90.0,821.94,757.39,89.0,62.0,78.0,46.0,2018,117143,0.87,0.22,1.9,0.5,1.5,109,111,109,51.764369,-0.327271,515532,208622,0,1,10,18,25,1.0,0.9888888888888889,>60
543,Camp Primary and Nursery School (St Albans),30,184,30,14.0,16.0,0.0,30.0,749.49,0.0,40.0,58.0,48.0,38.0,2018,117136,0.69,0.17,0.1,1.7,0.6,104,108,105,51.746962,-0.310415,516740,206713,2,5,9,20,31,2.0,1.3333333333333333,30
544,Cunningham Hill Infant School,60,246,60,19.0,18.0,23.0,60.0,652.01,1173.24,57.0,76.0,56.0,58.0,2018,117250,0.86,0.36,2.4,2.9,2.3,109,109,109,51.744144,-0.313895,516507,206394,2,5,11,21,30,1.0,0.95,60
545,Fleetville Infant & Nursery School *,90,287,90,0.0,0.0,0.0,90.0,0.0,0.0,94.0,79.0,65.0,48.0,2018,138205,0.74,0.24,-0.4,-0.4,-2.7,108,108,105,51.751985,-0.314501,516445,207265,0,4,14,20,30,1.0,1.0444444444444445,>60
546,Garden Fields JMI School,90,209,79,30.0,18.0,25.0,79.0,967.92,4642.2,60.0,39.0,42.0,68.0,2018,117139,0.78,0.2,0.8,0.9,0.4,108,109,107,51.764343,-0.337474,514828,208603,0,2,10,18,26,2.0,0.6666666666666666,>60
547,Killigrew Primary & Nursery School,60,158,60,34.0,16.0,10.0,60.0,1130.61,3178.36,58.0,50.0,43.0,7.0,2018,135528,0.67,0.17,0.9,-0.5,-0.6,107,110,106,51.731567,-0.35407,513765,204932,0,0,6,10,27,2.0,0.9666666666666667,60
548,Mandeville Primary (St Albans),60,107,60,27.0,20.0,12.0,60.0,696.75,56674.0,42.0,21.0,24.0,20.0,2018,139159,0.5,0.1,0.3,-0.7,-2.2,103,105,101,51.73713,-0.339377,514766,205574,1,1,12,17,27,2.0,0.7,60
549,Maple Primary School,30,274,30,15.0,15.0,0.0,30.0,265.44,0.0,64.0,88.0,72.0,50.0,2018,117298,0.81,0.29,2.5,4.4,0,109,109,106,51.755887,-0.332134,515218,207671,2,3,12,21,28,1.0,2.1333333333333333,30
550,Margaret Wix Primary School,60,34,22,8.0,7.0,6.0,22.0,517.4,189151.0,18.0,4.0,4.0,8.0,2018,117188,0.45,0,-0.1,-0.8,-2.2,103,106,102,51.770984,-0.341013,514567,209336,0,1,5,13,26,2.0,0.3,60
551,Oakwood Primary School,45,186,45,21.0,24.0,0.0,45.0,602.12,0.0,62.0,39.0,43.0,42.0,2018,117222,0.6,0.13,0.3,-2.8,-2.1,107,108,105,51.75616,-0.300958,517369,207751,0,0,8,16,30,1.0,1.3777777777777778,31-59
552,Prae Wood Primary and Nursery School,60,162,60,23.0,20.0,17.0,60.0,764.95,1659.98,58.0,48.0,26.0,30.0,2018,117315,0.77,0.13,5.8,0.7,2.8,111,111,107,51.745514,-0.359198,513376,206475,0,1,8,12,28,2.0,0.9666666666666667,60
553,Samuel Ryder Academy *,60,230,60,0.0,0.0,0.0,60.0,0.0,0.0,68.0,50.0,54.0,59.0,2018,138582,,,,,,,,,51.738834,-0.311037,516718,205808,0,3,8,17,30,2.0,1.1333333333333333,60
554,Sandridge School,30,42,20,10.0,5.0,4.0,20.0,728.85,3395.15,15.0,4.0,10.0,12.0,2018,117148,0.57,0.17,1.9,2.5,-2.4,106,106,103,51.780439,-0.296819,517592,210458,0,0,3,5,27,2.0,0.5,30
555,Skyswood Primary & Nursery School,30,158,30,17.0,13.0,0.0,30.0,404.56,0.0,53.0,66.0,22.0,17.0,2018,117240,0.81,0.26,5,2.3,4.4,111,110,111,51.767228,-0.302137,517259,208980,1,2,6,15,28,1.0,1.7666666666666666,30
556,St Adrian's RC Primary School & Nursery **,30,61,30,0.0,0.0,0.0,30.0,0.0,0.0,29.0,13.0,8.0,11.0,2018,117470,0.8,0.1,2.6,-1.6,2.4,109,112,108,51.73829,-0.34381,514457,205696,1,1,8,18,27,2.0,0.9666666666666667,30
557,St John Fisher Catholic Primary School **,30,49,30,0.0,0.0,0.0,30.0,0.0,0.0,14.0,17.0,6.0,12.0,2018,117480,0.63,0.19,0.1,0,-1.9,107,108,105,51.766476,-0.304875,517072,208892,1,2,6,15,28,2.0,0.4666666666666667,30
558,St Michael's C of E VA Primary (St Albans) **,30,58,22,0.0,0.0,0.0,22.0,0.0,0.0,18.0,11.0,17.0,13.0,2018,117451,0.59,0.05,0.9,-2.2,-1.4,106,104,103,51.753332,-0.355684,513599,207350,0,1,8,14,24,2.0,0.6,30
559,St Peter's School (St Albans),30,155,30,18.0,12.0,0.0,30.0,248.92,0.0,57.0,47.0,33.0,17.0,2018,117140,0.81,0.16,2,-0.6,0.5,108,108,107,51.746893,-0.335368,515018,206666,1,3,15,19,28,2.0,1.9,30
560,Wheatfields Infants' & Nursery School,90,192,90,38.0,15.0,37.0,90.0,749.64,1560.47,73.0,51.0,46.0,22.0,2018,117212,0.76,0.19,0.6,-0.1,0.6,108,108,108,51.770285,-0.311486,516606,209305,0,2,6,15,27,2.0,0.8111111111111111,>60
561,Windermere JMI School,30,144,30,16.0,6.0,8.0,30.0,530.2,961.03,26.0,32.0,60.0,26.0,2018,117217,0.43,0.13,-2.5,1.5,-1.5,101,105,102,51.744018,-0.308251,516897,206389,2,4,7,20,31,2.0,0.8666666666666667,30
562,St Ippolyts C of E (Aided) Primary School **,20,39,29,0.0,0.0,0.0,29.0,0.0,0.0,19.0,10.0,5.0,5.0,2018,117440,0.77,0.09,-2.4,-1.4,-1,105,105,105,51.930793,-0.258218,519855,227242,0,0,4,8,18,2.0,0.95,<30
563,St Andrew's C of E (V C) Primary (S.Abbotts),30,73,30,13.0,17.0,0.0,30.0,1441.94,0.0,32.0,20.0,12.0,9.0,2018,117407,0.66,0.07,4.1,0.1,1.9,108,106,106,51.788723,0.009544,538699,211917,0,0,2,4,20,2.0,1.0666666666666667,30
564,Stapleford Primary School **,12,17,8,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,5.0,3.0,2018,117455,0.55,0.18,2.3,3.1,-3.7,106,102,100,51.835837,-0.097715,531165,216958,0,0,0,2,13,2.0,0.6666666666666666,<30
565,Ardeley St Lawrence Primary School and Nursery **,15,30,15,0.0,0.0,0.0,15.0,0.0,0.0,16.0,5.0,1.0,8.0,2018,117420,,,,,,,,,51.926974,-0.098416,530852,227092,0,0,0,1,3,2.0,1.0666666666666667,<30
566,Ashtree Primary School & Nursery,60,117,56,22.0,20.0,10.0,56.0,693.35,3161.29,50.0,32.0,23.0,12.0,2018,117352,0.59,0.02,-0.8,0.5,-1.9,102,105,102,51.896928,-0.165033,526356,223633,1,2,10,14,23,2.0,0.8333333333333334,60
567,Aston St Mary's C of E (Aided) Primary School **,18,69,18,0.0,0.0,0.0,18.0,0.0,0.0,41.0,15.0,8.0,6.0,2018,117421,0.92,0.23,1.5,1.9,1.8,107,108,107,51.890266,-0.150147,527399,222918,0,0,5,11,25,1.0,2.2777777777777777,<30
568,Bedwell Primary School & Nursery,45,86,23,6.0,6.0,9.0,23.0,665.38,2518.96,18.0,26.0,21.0,21.0,2018,117200,0.4,0.03,-3.6,-0.1,-0.5,96,100,100,51.905769,-0.182568,525125,224586,0,3,12,18,23,2.0,0.4,31-59
569,Benington C of E Primary School,16,39,16,5.0,8.0,3.0,16.0,1427.07,2864.08,15.0,12.0,9.0,4.0,2018,117389,0.85,0.15,1.4,3.5,2.5,108,111,108,51.898484,-0.113326,529909,223897,0,0,0,2,16,2.0,0.9375,<30
570,Broom Barns Primary School,30,102,30,14.0,16.0,0.0,30.0,391.46,0.0,53.0,19.0,17.0,11.0,2018,117189,0.82,0.14,3.6,3.6,4.4,107,111,108,51.900646,-0.193226,524406,223998,0,3,11,16,23,2.0,1.7666666666666666,30
571,Featherstone Wood Primary School and Nursery,30,59,24,12.0,4.0,6.0,24.0,693.13,1790.37,21.0,19.0,11.0,8.0,2018,131505,0.52,0.04,-2.2,0.3,1.2,101,105,105,51.893622,-0.167522,526194,223261,1,2,11,13,24,2.0,0.7,30
572,Giles Nursery and Infant's School,90,192,90,44.0,16.0,30.0,90.0,532.75,1673.71,87.0,41.0,35.0,30.0,2018,117306,0.84,0.11,1.9,0.5,0.7,108,108,107,51.921862,-0.182965,525053,226375,1,4,9,13,23,2.0,0.9666666666666667,>60
573,Leys Primary & Nursery School (The),75,117,53,25.0,13.0,13.0,53.0,587.18,2913.84,44.0,39.0,16.0,18.0,2018,117364,0.67,0.12,1.9,1,0.5,106,106,105,51.926729,-0.180223,525228,226921,0,3,6,10,23,2.0,0.5866666666666667,>60
574,Lodge Farm Primary School,60,130,59,23.0,13.0,22.0,59.0,1007.18,3640.9,53.0,44.0,18.0,16.0,2018,132091,0.67,0.17,-0.1,2.3,1.2,103,105,105,51.909921,-0.169068,526042,225071,0,1,11,18,22,2.0,0.8833333333333333,60
575,Longmeadow Primary School,60,67,35,24.0,5.0,6.0,35.0,1090.12,4321.22,35.0,14.0,7.0,12.0,2018,135083,0.74,0.16,2.7,0.4,5.5,108,111,110,51.883335,-0.171573,525944,222110,1,1,7,13,24,2.0,0.5833333333333334,60
576,Martins Wood Primary School,90,181,85,37.0,24.0,21.0,85.0,606.16,6047.42,75.0,39.0,27.0,38.0,2018,117285,0.55,0.09,-0.1,0.8,-1,103,106,102,51.919479,-0.173653,525700,226126,0,4,9,13,24,2.0,0.8333333333333334,>60
577,Moss Bury Primary School & Nursery,45,120,39,23.0,5.0,11.0,39.0,447.64,2047.96,34.0,27.0,33.0,26.0,2018,117269,0.71,0.05,1.8,1.5,4.1,104,107,106,51.913089,-0.181414,525184,225402,0,6,11,16,23,2.0,0.7555555555555555,31-59
578,Peartree Spring Primary School (Stevenage),90,153,85,39.0,17.0,29.0,85.0,646.16,3686.74,76.0,37.0,19.0,21.0,2018,117206,0.85,0.11,2.4,1.1,1.4,107,108,106,51.892519,-0.175928,525619,223124,0,3,11,13,24,2.0,0.8444444444444444,>60
579,Round Diamond Primary School,60,213,60,28.0,32.0,0.0,60.0,527.09,0.0,89.0,66.0,40.0,18.0,2018,117299,0.72,0.11,0.6,2.9,1.5,105,108,106,51.929812,-0.170848,525864,227280,0,1,5,9,22,1.0,1.4833333333333334,60
580,Shephalbury Park Primary School,30,79,30,10.0,7.0,10.0,30.0,786.63,1447.49,27.0,25.0,17.0,10.0,2018,135084,0.45,0,-4.6,1.8,-0.4,99,103,104,51.882975,-0.176208,525626,222062,1,1,7,12,23,2.0,0.9,30
581,St Margaret Clitherow Roman Catholic Primary School **,30,100,30,0.0,0.0,0.0,30.0,0.0,0.0,44.0,35.0,16.0,6.0,2018,117474,0.72,0.1,0.3,-0.8,1.9,106,108,106,51.88973,-0.192036,524518,222786,0,0,8,14,22,1.0,1.4666666666666666,30
582,St Nicholas C of E Primary School & Nursery (Stevenage) **,30,90,30,0.0,0.0,0.0,30.0,0.0,0.0,26.0,23.0,25.0,15.0,2018,117456,0.61,0.09,-2.6,-2.2,-1.6,103,107,104,51.898325,-0.185557,524940,223753,0,4,11,17,24,2.0,0.8666666666666667,30
583,St Vincent de Paul Catholic Primary School **,60,93,58,0.0,0.0,0.0,58.0,0.0,0.0,47.0,33.0,4.0,12.0,2018,117498,0.62,0.12,-0.1,0.7,1.1,104,106,105,51.905769,-0.182568,525125,224586,0,3,12,18,23,2.0,0.7833333333333333,60
584,Trotts Hill Primary and Nursery School,30,109,26,6.0,3.0,14.0,26.0,342.84,3302.88,20.0,33.0,36.0,17.0,2018,117292,0.76,0.21,2.1,0.5,3,107,110,108,51.918516,-0.186997,524785,225996,1,4,9,15,23,2.0,0.6666666666666666,30
585,Woolenwick Infant & Nursery School,60,157,60,23.0,37.0,0.0,60.0,937.9,0.0,80.0,35.0,27.0,15.0,2018,117322,0.53,0.07,-4.2,-1.1,-4.3,102,103,102,51.909291,-0.215268,522866,224922,0,0,2,10,23,3.0,1.3333333333333333,60
586,Tewin Cowper C of E VA Primary School **,25,49,25,0.0,0.0,0.0,25.0,0.0,0.0,26.0,10.0,10.0,3.0,2018,117457,0.5,0.17,1.9,1.9,0.4,103,107,102,51.815083,-0.155882,527216,214547,0,0,2,5,24,2.0,1.04,<30
587,Gaddesden Row JMI School,8,15,7,2.0,2.0,3.0,7.0,1943.85,7584.1,4.0,4.0,3.0,4.0,2018,117101,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,51.806113,-0.479188,504952,213035,0,0,0,1,11,2.0,0.5,<30
588,Great Gaddesden C of E Primary School **,13,18,9,0.0,0.0,0.0,9.0,0.0,0.0,9.0,4.0,2.0,3.0,2018,117433,0.63,0.13,2.5,-0.7,-0.5,106,105,103,51.79078,-0.509167,502920,211287,0,0,0,2,18,2.0,0.6923076923076923,<30
589,Little Gaddesden C of E VA Primary School **,15,28,15,0.0,0.0,0.0,15.0,0.0,0.0,11.0,10.0,4.0,3.0,2018,117443,0.93,0.27,2.2,3.2,-0.6,111,108,107,51.811707,-0.559994,499369,213544,0,0,0,0,3,1.0,0.7333333333333333,<30
590,Thundridge Primary School,15,24,6,2.0,3.0,1.0,6.0,443.23,2690.79,6.0,5.0,8.0,5.0,2018,117408,0.67,0,0.9,0,-6.7,108,107,100,51.837894,-0.028795,535907,217313,0,0,2,7,12,2.0,0.4,<30
591,Tonwell St Mary's C of E Primary School,8,15,6,2.0,0.0,4.0,6.0,0.0,13392.0,6.0,0.0,3.0,6.0,2018,117388,0.5,0,-4,-4.2,-10.8,106,104,99,51.83769,-0.06579,533359,217222,0,0,0,2,18,3.0,0.75,<30
592,Dundale Primary & Nursery School,30,81,29,8.0,13.0,5.0,29.0,702.74,1486.78,22.0,28.0,26.0,5.0,2018,117286,0.43,0,-5.4,-3,-8,100,99,97,51.799957,-0.661315,492408,212104,0,2,2,3,5,2.0,0.7333333333333333,30
593,Grove Road Primary School,60,125,60,22.0,13.0,25.0,60.0,2850.05,5071.14,51.0,43.0,18.0,13.0,2018,145255,0.67,0.08,2.3,-0.1,0.1,107,108,104,51.802624,-0.650025,493181,212415,0,1,2,3,5,2.0,0.85,60
594,Longlands Primary School & Nursery,30,74,31,12.0,19.0,0.0,31.0,448.15,0.0,35.0,12.0,16.0,11.0,2018,117326,0.76,0.16,3.8,3.7,6.9,105,108,109,51.723401,-0.025352,536489,204587,0,0,2,11,24,2.0,1.1666666666666667,30
595,Walkern Primary School,25,64,20,5.0,7.0,8.0,20.0,305.22,5717.83,15.0,20.0,18.0,11.0,2018,117154,0.5,0.1,-6.1,-4.9,-1.2,100,103,105,51.916833,-0.12829,528827,225911,0,0,0,3,19,3.0,0.6,<30
596,Four Swannes Primary School,30,52,22,4.0,9.0,2.0,22.0,591.03,797.89,14.0,18.0,16.0,4.0,2018,117092,0.48,0.13,-2.7,-1.3,-3.5,101,104,101,51.687937,-0.030646,536230,200633,1,4,6,11,16,3.0,0.4666666666666667,30
597,Goffs Oak Primary & Nursery School,30,137,30,15.0,11.0,4.0,30.0,1420.9,1572.56,30.0,42.0,38.0,27.0,2018,117243,0.55,0.07,-2.8,-1.9,-2.7,104,103,101,51.713782,-0.093577,531805,203392,0,1,2,8,18,2.0,1.0,30
598,Holdbrook Primary School,30,29,11,5.0,5.0,0.0,11.0,365.83,0.0,10.0,6.0,6.0,8.0,2018,117091,0.38,0.07,0.1,1.7,2.2,99,104,102,51.68367,-0.019906,536985,200179,0,1,5,8,15,3.0,0.3333333333333333,30
599,Holy Trinity Church of England Primary School **,30,67,30,0.0,0.0,0.0,30.0,0.0,0.0,26.0,18.0,14.0,8.0,2018,117428,0.42,0.08,-0.5,0.1,0.8,100,104,102,51.695006,-0.034984,535909,201411,0,3,10,14,18,2.0,0.8666666666666667,30
