,Full Name,PAN,APP,ALLO,NOT_DIST,NEAR,DIST,TOTAL,MAX_DIST_NS,MAX_DIST_DIST,P1,P2,P3,P4,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Latitude,Longitude,Easting,Northing,within_500m,within_1km,within_2km,within_3km,within_5km,Grade,P1/plc,PAN_bin
122,Yewtree Primary School,60,81,48,15.0,5.0,13.0,48.0,436.66,2559.09,27.0,17.0,21.0,16.0,2019,135222,0.27,0,-6.1,-0.5,-7.1,96,97,94,51.764811,-0.459563,506402,208470,1,5,10,21,29,3.0,0.45,60
123,Abel Smith School,30,214,30,9.0,17.0,4.0,30.0,905.36,536.65,42.0,63.0,70.0,39.0,2019,117111,0.75,0.32,2.3,1.1,1.6,108,109,107,51.795147,-0.073426,532958,212477,1,3,7,10,22,1.0,1.4,30
124,Bengeo Primary School,60,129,60,27.0,33.0,0.0,60.0,628.54,0.0,60.0,23.0,21.0,25.0,2019,117361,0.93,0.27,2.7,4.2,2,109,111,108,51.808245,-0.083065,532255,213916,0,0,6,9,20,2.0,1.0,60
125,Hertford St Andrews C of E Primary School,30,20,13,4.0,1.0,1.0,13.0,299.88,2311.04,5.0,10.0,1.0,4.0,2019,117397,0.35,0,-1.5,-6.2,-2.5,103,101,100,51.802201,-0.104599,530788,213205,0,2,4,8,16,2.0,0.16666666666666666,30
126,Hollybush Primary School,30,61,30,9.0,10.0,11.0,30.0,601.91,861.46,26.0,13.0,10.0,12.0,2019,117263,0.48,0.1,-1.4,0.5,-2.7,104,103,102,51.797628,-0.098221,531241,212708,1,3,7,9,17,2.0,0.8666666666666667,30
127,Mill Mead School,30,175,30,16.0,14.0,0.0,30.0,403.41,0.0,39.0,43.0,56.0,37.0,2019,117297,0.79,0.11,0.4,-1.5,-0.9,109,109,105,51.799011,-0.084226,532202,212887,0,3,8,8,20,2.0,1.3,30
128,Morgans Primary School,60,131,51,19.0,13.0,17.0,51.0,920.59,4893.29,29.0,21.0,40.0,41.0,2019,117363,0.65,0.12,-1,-0.8,-2.9,106,106,104,51.787974,-0.079619,532552,211668,0,2,5,9,18,2.0,0.48333333333333334,60
129,Simon Balle School *,60,310,61,0.0,0.0,0.0,61.0,0.0,0.0,102.0,120.0,56.0,32.0,2019,140294,,,,,,,,,51.792657,-0.070733,533151,212205,1,2,7,9,22,1.0,1.7,60
130,St Joseph's Catholic Primary (Hertford) **,30,52,28,0.0,0.0,0.0,28.0,0.0,0.0,27.0,10.0,10.0,5.0,2019,117436,0.81,0.12,4.8,2.2,2.8,109,107,106,51.800793,-0.093723,531542,213068,1,3,7,9,18,2.0,0.9,30
131,Wheatcroft Primary School,45,93,45,13.0,32.0,0.0,45.0,657.82,0.0,39.0,19.0,15.0,20.0,2019,117328,0.58,0.02,-1.3,-2,-2.8,105,103,102,51.799874,-0.055357,534190,213036,0,0,6,14,25,2.0,0.8666666666666667,31-59
