Full Name,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Grade,%exp_norm,%high_norm,norm_%,READ_norm,WRIT_norm,MAT_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,appl/plc,weightedPref,log_WP,%exp_norm,%high_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,READ_norm,WRIT_norm,MAT_norm,pred_WP,resid_WP,pred_log_WP,resid_log_WP,pca_1,pca,pca_2,Latitude,Longitude,Easting,Northing
Bayford (C of E) VC Primary School,2019,117387,0.92,0.33,4.3,0.4,4.1,111,111,110,2,1.617170011,2.249350577,2.160067367,1.810793459,1.4436465,1.743514697,1.793177756,0.240890846,1.834094096,1.533333333,1.466666667,0.382992252,1.617170011,2.249350577,1.793177756,0.240890846,1.834094096,1.810793459,1.4436465,1.743514697,3.483396105,-2.016729439,1.225361215,-0.842368963,-4.610814752,4.610814752,-0.455201805,51.757226,-0.10624,530805,208201
Bayford (C of E) VC Primary School,2018,117387,0.57,0.21,1,2,4.2,103,105,106,2,-0.690325442,0.908659872,0.121974542,-0.923588627,-0.600473254,0.31327636,0.315318757,0.967000702,1.876750494,2.066666667,2.133333333,0.757685702,-0.690325442,0.908659872,0.315318757,0.967000702,1.876750494,-0.923588627,-0.600473254,0.31327636,2.755612589,-0.622279256,0.93641575,-0.178730049,-0.566903576,0.566903576,1.932069217,51.757226,-0.10624,530805,208201
Bayford (C of E) VC Primary School,2020,117387,0.87,0.07,1.7,-0.5,0.8,107,107,107,2,1.287527803,-0.655479283,0.353099732,0.443602416,0.080899997,0.670835944,0.628804,-0.167545947,0.42643299,2.533333333,2.6,0.955511445,1.287527803,-0.655479283,0.628804,-0.167545947,0.42643299,0.443602416,0.080899997,0.670835944,2.845969701,-0.245969701,0.972289437,-0.016777992,-1.068970642,1.068970642,-0.331488253,51.757226,-0.10624,530805,208201
Greenway Primary & Nursery School (Berkhamsted),2019,117276,0.78,0.19,0.8,-1.4,-1.5,109,108,107,2,0.69417183,0.685211421,0.770605168,1.127197938,0.421586623,0.670835944,0.225751545,-0.575982741,-0.554664145,5.1,4.6,1.526056303,0.69417183,0.685211421,0.225751545,-0.575982741,-0.554664145,1.127197938,0.421586623,0.670835944,2.85165365,1.74834635,0.974546085,0.551510218,-1.100553367,1.100553367,-1.328012268,51.756653,-0.582344,497947,207391
Greenway Primary & Nursery School (Berkhamsted),2018,117276,0.73,0.24,-0.1,-0.8,-2,108,107,106,2,0.364529622,1.243832548,0.898526352,0.785400177,0.080899997,0.31327636,-0.177300909,-0.303691545,-0.767946131,5.166666667,4.033333333,1.394593164,0.364529622,1.243832548,-0.177300909,-0.303691545,-0.767946131,0.785400177,0.080899997,0.31327636,2.763050212,1.270283122,0.939368644,0.45522452,-0.608230544,0.608230544,-0.954540821,51.756653,-0.582344,497947,207391
Greenway Primary & Nursery School (Berkhamsted),2020,117276,0.83,0.17,0.6,-2.6,-0.6,109,108,108,2,1.023814037,0.46176297,0.829931289,1.127197938,0.421586623,1.028395528,0.136184333,-1.120565133,-0.17075657,4.866666667,4.566666667,1.518783544,1.023814037,0.46176297,0.136184333,-1.120565133,-0.17075657,1.127197938,0.421586623,1.028395528,2.882177877,1.68448879,0.986664849,0.532118695,-1.27016048,1.27016048,-1.750123016,51.756653,-0.582344,497947,207391
St Mary's VA C of E Primary School (Northchurch) **,2019,117424,0.81,0.12,-0.9,1.2,-2.6,107,107,104,2,0.891957154,-0.096858157,0.444189384,0.443602416,0.080899997,-0.401842808,-0.535569757,0.603945774,-1.023884514,2.2,2.333333333,0.84729786,0.891957154,-0.096858157,-0.535569757,0.603945774,-1.023884514,0.443602416,0.080899997,-0.401842808,2.644846952,-0.311513619,0.892439447,-0.045141587,0.048562958,-0.048562958,-0.18678525,51.770209,-0.58947,497426,208889
St Mary's VA C of E Primary School (Northchurch) **,2018,117424,0.81,0.33,2.3,0.8,1.1,109,109,108,2,0.891957154,2.249350577,1.75492052,1.127197938,0.762273249,1.028395528,0.897505636,0.42241831,0.554402181,1.933333333,2.266666667,0.818310324,0.891957154,2.249350577,0.897505636,0.42241831,0.554402181,1.127197938,0.762273249,1.028395528,3.16087234,-0.894205673,1.097312452,-0.279002128,-2.818719395,2.818719395,-0.261965752,51.770209,-0.58947,497426,208889
St Mary's VA C of E Primary School (Northchurch) **,2020,117424,0.66,0.21,-2,-1.3,-0.9,105,107,106,2,-0.096969468,0.908659872,0.453458326,-0.239993105,0.080899997,0.31327636,-1.028189424,-0.530600875,-0.298725762,1.933333333,1.766666667,0.569094532,-0.096969468,0.908659872,-1.028189424,-0.530600875,-0.298725762,-0.239993105,0.080899997,0.31327636,2.608204954,-0.841538287,0.877891798,-0.308797266,0.252163317,-0.252163317,-0.708164826,51.770209,-0.58947,497426,208889
St Thomas More Catholic Primary (Berkhamsted) **,2019,117479,0.76,0.14,1.2,0.6,-0.9,108,108,105,1,0.562314947,0.126590294,0.384863263,0.785400177,0.421586623,-0.044283224,0.404885969,0.331654578,-0.298725762,1.6,1.633333333,0.490622916,0.562314947,0.126590294,0.404885969,0.331654578,-0.298725762,0.785400177,0.421586623,-0.044283224,2.799811531,-1.166478198,0.953963666,-0.46334075,-0.812493908,0.812493908,-0.216198957,51.759852,-0.58065,498057,207749
